Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned
kallisto | SRR8668756	84483855.0	58270531.0	26213324.0	68.97238649917195
kallisto | SRR8668757	95110159.0	46344062.0	48766097.0	48.72672119074052
kallisto | SRR8668758	30161579.0	18762070.0	11399509.0	62.20519820928473
kallisto | SRR8668759	0.0	0.0	0.0	0.0
kallisto | SRR8668769	94251532.0	63720818.0	30530714.0	67.60719602945021
kallisto | SRR8668772	68179906.0	37041302.0	31138604.0	54.32876660170227
kallisto | SRR8668773	69980123.0	45774918.0	24205205.0	65.41131400983676
kallisto | SRR8668774	133387934.0	78640298.0	54747636.0	58.95608069017697
